CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,LATITUD,LONGITUD,ALTITUD,CVE_CARTA,AMBITO,PTOT,PMAS,PFEM,VTOT
7,Chiapas,Chis.,106,Venustiano Carranza,835,Señor del Pozo,162000.81,923331.87,719,E15D72,R,3,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,836,Roberto Argüello,161827.328,922518.774,899,E15D72,R,7,*,*,2
7,Chiapas,Chis.,106,Venustiano Carranza,837,Las Brisas,161443.003,925029.993,579,E15D81,R,12,6,6,3
7,Chiapas,Chis.,106,Venustiano Carranza,838,Pisholton,161932.106,923246.35,653,E15D72,R,16,10,6,5
7,Chiapas,Chis.,106,Venustiano Carranza,839,Vado Agua Dulce,162134.04,923345.68,791,E15D72,R,36,20,16,8
7,Chiapas,Chis.,106,Venustiano Carranza,840,Bella Bonita,162235.561,922823.316,1015,E15D72,R,57,31,26,11
7,Chiapas,Chis.,106,Venustiano Carranza,841,San Isidro Tres Picos,161934.486,922701.478,752,E15D72,R,9,*,*,2
7,Chiapas,Chis.,106,Venustiano Carranza,842,San José,161859.293,922910.612,642,E15D72,R,18,10,8,3
7,Chiapas,Chis.,106,Venustiano Carranza,843,San José Tres Picos,161921.258,922720.148,740,E15D72,R,27,15,12,8
7,Chiapas,Chis.,106,Venustiano Carranza,844,La Perla,161325.753,923014.635,601,E15D82,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,845,El Mirador,161749.923,922502.343,885,E15D72,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,846,Santa Rosa,161843.662,922911.462,639,E15D72,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,848,San Antonio Tres de Marzo,162114.654,923416.662,742,E15D72,R,33,20,13,9
7,Chiapas,Chis.,106,Venustiano Carranza,849,Quespala,161829.243,923037.463,640,E15D72,R,50,26,24,8
7,Chiapas,Chis.,106,Venustiano Carranza,850,El Manantial,161316.346,924640.583,580,E15D81,R,4,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,851,El Rubí,161338.298,924652.291,582,E15D81,R,3,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,852,El Brasilito,161446.738,924730.952,549,E15D81,R,3,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,853,El Desengaño,161738.589,925057.716,540,E15D71,R,5,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,854,El Naranjo,161843.967,922530.699,861,E15D72,R,5,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,855,El Rosario,162157.082,922738.973,987,E15D72,R,35,17,18,7
7,Chiapas,Chis.,106,Venustiano Carranza,856,Nazaret,162550.963,923206.194,1065,E15D72,R,1,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,857,Libertad Dos,162512,922822,1063,E15D72,R,13,*,*,2
7,Chiapas,Chis.,106,Venustiano Carranza,858,Dolores,162414.639,922808.629,1101,E15D72,R,7,*,*,2
7,Chiapas,Chis.,106,Venustiano Carranza,859,Milton López Ruiz,162312.11,924154.47,504,E15D71,R,5,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,860,El Mirador,162326.257,924200.094,499,E15D71,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,861,José Álvarez Estrada,162317.02,924156.35,499,E15D71,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,862,Las Caobas,162311.581,924156.725,504,E15D71,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,863,La Angostura (Los Cocos),162344.905,924623.939,545,E15D71,R,6,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,864,El Limón,161450.192,925008.439,548,E15D81,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,865,Ojo de Agua,161837.106,922808.027,659,E15D72,R,2,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,866,Quinta Santa Elena,161829.687,923315.818,611,E15D72,R,6,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,867,Janitzio (Granja),161529.322,922627.19,614,E15D72,R,2,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,868,San Antonio Napuchin (El Tesoro),161647.412,922428.176,819,E15D72,R,8,*,*,2
7,Chiapas,Chis.,106,Venustiano Carranza,869,San Fernando,161433.785,922855.228,577,E15D82,R,2,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,870,El Porvenir,161545.21,922642.72,617,E15D72,R,4,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,871,La Hormiga,162114.48,924124.18,560,E15D71,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,872,El Placer,162054.723,924050.229,537,E15D71,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,873,El Borbollón,162044.273,924041.66,519,E15D71,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,874,San Antonio,162111.551,924115.924,552,E15D71,R,4,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,875,Los Cocos,162107.556,924113.797,547,E15D71,R,1,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,876,José Rubén Ruiz M.,162221.11,924134.77,521,E15D71,R,2,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,877,San Antonio la Chinchilla,162255.9,924123.18,520,E15D71,R,8,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,878,Uxtic,162138.98,924125.45,541,E15D71,R,4,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,879,La Casa Blanca,162146.27,924129.71,540,E15D71,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,880,Bulmaro Vázquez López,162127.63,924129.11,550,E15D71,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,881,San Antonio,161939.643,923912.65,542,E15D72,R,3,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,882,El Trébol,161939.395,923914.977,540,E15D72,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,883,Loma Partida,161948.792,923923.7,533,E15D72,R,1,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,884,Dolores,162124.19,924210.71,579,E15D71,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,885,Paraíso San Juan,162050.081,923612.139,599,E15D72,R,4,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,886,Julio Ortíz Montoya,162041.886,923559.974,594,E15D72,R,4,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,887,Julio César Gómez A.,162042.467,923640.206,580,E15D72,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,888,Marco Antonio Vázquez,162006.511,923626.107,581,E15D72,R,5,*,*,1
7,Chiapas,Chis.,106,Venustiano Carranza,889,Noé Israel Salazar P.,162036.82,923650.98,575,E15D72,R,0,0,0,0
7,Chiapas,Chis.,106,Venustiano Carranza,890,Concepción,162001.917,923938.606,528,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,891,Quinta Monte Sinaí,162122.214,924119.536,551,E15D71,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,892,Santa María,162035.967,923624.7,588,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,893,Quinta las Violetas,162049.155,923558.802,606,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,894,Juan Díaz López,162032.154,923438.227,649,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,895,Fraccionamiento Trinidad Oquil,162049.843,923527.923,616,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,896,San Pedro,161914.899,922845.504,663,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,897,Nativitas,161813.279,922818.614,637,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,898,Nueva Esperanza,161546.976,922606.254,626,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,899,Tres Hermanos,161806.789,922604.261,733,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,900,La Molienda,161749.246,922602.008,747,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,901,Santa Rita,161554.148,922541.003,665,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,902,Quinta la Preciosa,161821.818,922820.016,641,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,903,Quinta Kilómetro Seis,162222.66,923308.517,919,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,904,Nuevo Paraíso,161829.203,923323.109,608,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,905,Bartolomé Mendoza Vázquez,161909.009,923013.307,642,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,906,San Antonio,161828.911,923304.666,617,E15D72,R,-,-,-,-
7,Chiapas,Chis.,106,Venustiano Carranza,907,Ana del Carmen,161829.206,923243.122,623,E15D72,R,-,-,-,-
